+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 82 |       NEW |     READY |
|                 0 | 82 |     READY |   RUNNING |
|                 3 | 80 |       NEW |     READY |
|                63 | 82 |   RUNNING |   WAITING |
|                63 | 80 |     READY |   RUNNING |
|                67 | 17 |       NEW |     READY |
|                87 | 81 |       NEW |     READY |
|               125 | 82 |   WAITING |     READY |
|               153 | 80 |   RUNNING |   WAITING |
|               153 | 17 |     READY |   RUNNING |
|               245 | 80 |   WAITING |     READY |
|               253 | 17 |   RUNNING |     READY |
|               253 | 81 |     READY |   RUNNING |
|               346 | 81 |   RUNNING |   WAITING |
|               346 | 82 |     READY |   RUNNING |
|               409 | 82 |   RUNNING |   WAITING |
|               409 | 80 |     READY |   RUNNING |
|               414 | 81 |   WAITING |     READY |
|               471 | 82 |   WAITING |     READY |
|               499 | 80 |   RUNNING |   WAITING |
|               499 | 17 |     READY |   RUNNING |
|               591 | 80 |   WAITING |     READY |
|               599 | 17 |   RUNNING |     READY |
|               599 | 81 |     READY |   RUNNING |
|               692 | 81 |   RUNNING |   WAITING |
|               692 | 82 |     READY |   RUNNING |
|               755 | 82 |   RUNNING |   WAITING |
|               755 | 80 |     READY |   RUNNING |
|               760 | 81 |   WAITING |     READY |
|               817 | 82 |   WAITING |     READY |
|               845 | 80 |   RUNNING |   WAITING |
|               845 | 17 |     READY |   RUNNING |
|               866 | 17 |   RUNNING |   WAITING |
|               866 | 81 |     READY |   RUNNING |
|               937 | 80 |   WAITING |     READY |
|               959 | 81 |   RUNNING |   WAITING |
|               959 | 82 |     READY |   RUNNING |
|              1022 | 82 |   RUNNING |   WAITING |
|              1022 | 80 |     READY |   RUNNING |
|              1027 | 81 |   WAITING |     READY |
|              1084 | 82 |   WAITING |     READY |
|              1112 | 80 |   RUNNING |   WAITING |
|              1112 | 81 |     READY |   RUNNING |
|              1204 | 80 |   WAITING |     READY |
|              1205 | 81 |   RUNNING |   WAITING |
|              1205 | 82 |     READY |   RUNNING |
|              1268 | 82 |   RUNNING |   WAITING |
|              1268 | 80 |     READY |   RUNNING |
|              1273 | 81 |   WAITING |     READY |
|              1330 | 82 |   WAITING |     READY |
|              1332 | 17 |   WAITING |     READY |
|              1358 | 80 |   RUNNING |   WAITING |
|              1358 | 81 |     READY |   RUNNING |
|              1450 | 80 |   WAITING |     READY |
|              1451 | 81 |   RUNNING |   WAITING |
|              1451 | 82 |     READY |   RUNNING |
|              1514 | 82 |   RUNNING |   WAITING |
|              1514 | 17 |     READY |   RUNNING |
|              1519 | 81 |   WAITING |     READY |
|              1576 | 82 |   WAITING |     READY |
|              1614 | 17 |   RUNNING |     READY |
|              1614 | 80 |     READY |   RUNNING |
|              1704 | 80 |   RUNNING |   WAITING |
|              1704 | 81 |     READY |   RUNNING |
|              1796 | 80 |   WAITING |     READY |
|              1797 | 81 |   RUNNING |   WAITING |
|              1797 | 82 |     READY |   RUNNING |
|              1860 | 82 |   RUNNING |   WAITING |
|              1860 | 17 |     READY |   RUNNING |
|              1865 | 81 |   WAITING |     READY |
|              1922 | 82 |   WAITING |     READY |
|              1960 | 17 |   RUNNING |     READY |
|              1960 | 80 |     READY |   RUNNING |
|              2050 | 80 |   RUNNING |   WAITING |
|              2050 | 81 |     READY |   RUNNING |
|              2142 | 80 |   WAITING |     READY |
|              2143 | 81 |   RUNNING |   WAITING |
|              2143 | 82 |     READY |   RUNNING |
|              2206 | 82 |   RUNNING |   WAITING |
|              2206 | 17 |     READY |   RUNNING |
|              2211 | 81 |   WAITING |     READY |
|              2227 | 17 |   RUNNING |   WAITING |
|              2227 | 80 |     READY |   RUNNING |
|              2268 | 82 |   WAITING |     READY |
|              2300 | 80 |   RUNNING |TERMINATED |
|              2300 | 81 |     READY |   RUNNING |
|              2393 | 81 |   RUNNING |   WAITING |
|              2393 | 82 |     READY |   RUNNING |
|              2456 | 82 |   RUNNING |   WAITING |
|              2461 | 81 |   WAITING |     READY |
|              2461 | 81 |     READY |   RUNNING |
|              2518 | 82 |   WAITING |     READY |
|              2554 | 81 |   RUNNING |   WAITING |
|              2554 | 82 |     READY |   RUNNING |
|              2617 | 82 |   RUNNING |   WAITING |
|              2622 | 81 |   WAITING |     READY |
|              2622 | 81 |     READY |   RUNNING |
|              2679 | 82 |   WAITING |     READY |
|              2693 | 17 |   WAITING |     READY |
|              2715 | 81 |   RUNNING |   WAITING |
|              2715 | 82 |     READY |   RUNNING |
|              2778 | 82 |   RUNNING |   WAITING |
|              2778 | 17 |     READY |   RUNNING |
|              2783 | 81 |   WAITING |     READY |
|              2840 | 82 |   WAITING |     READY |
|              2878 | 17 |   RUNNING |     READY |
|              2878 | 81 |     READY |   RUNNING |
|              2897 | 81 |   RUNNING |TERMINATED |
|              2897 | 82 |     READY |   RUNNING |
|              2960 | 82 |   RUNNING |   WAITING |
|              2960 | 17 |     READY |   RUNNING |
|              2998 | 17 |   RUNNING |TERMINATED |
|              3022 | 82 |   WAITING |     READY |
|              3022 | 82 |     READY |   RUNNING |
|              3034 | 82 |   RUNNING |TERMINATED |
+------------------------------------------------+
Throughput: 3034
Average response time: 78.000000
Average turnaround time: 2768.000000
Average wait time: 1268.000000
