+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  4 |       NEW |     READY |
|                 0 |  4 |     READY |   RUNNING |
|                16 | 18 |       NEW |     READY |
|                22 | 15 |       NEW |     READY |
|                22 | 33 |       NEW |     READY |
|                23 | 68 |       NEW |     READY |
|               100 |  4 |   RUNNING |     READY |
|               100 |  4 |     READY |   RUNNING |
|               130 |  4 |   RUNNING |   WAITING |
|               130 | 15 |     READY |   RUNNING |
|               230 | 15 |   RUNNING |     READY |
|               230 | 15 |     READY |   RUNNING |
|               276 | 15 |   RUNNING |   WAITING |
|               276 | 18 |     READY |   RUNNING |
|               300 | 18 |   RUNNING |   WAITING |
|               300 | 33 |     READY |   RUNNING |
|               330 |  4 |   WAITING |     READY |
|               330 | 33 |   RUNNING |   WAITING |
|               330 |  4 |     READY |   RUNNING |
|               346 | 18 |   WAITING |     READY |
|               398 | 33 |   WAITING |     READY |
|               430 |  4 |   RUNNING |     READY |
|               430 |  4 |     READY |   RUNNING |
|               460 |  4 |   RUNNING |   WAITING |
|               460 | 18 |     READY |   RUNNING |
|               484 | 18 |   RUNNING |   WAITING |
|               484 | 33 |     READY |   RUNNING |
|               514 | 33 |   RUNNING |   WAITING |
|               514 | 68 |     READY |   RUNNING |
|               530 | 18 |   WAITING |     READY |
|               582 | 33 |   WAITING |     READY |
|               591 | 15 |   WAITING |     READY |
|               614 | 68 |   RUNNING |     READY |
|               614 | 15 |     READY |   RUNNING |
|               660 |  4 |   WAITING |     READY |
|               714 | 15 |   RUNNING |     READY |
|               714 |  4 |     READY |   RUNNING |
|               814 |  4 |   RUNNING |     READY |
|               814 |  4 |     READY |   RUNNING |
|               844 |  4 |   RUNNING |   WAITING |
|               844 | 15 |     READY |   RUNNING |
|               890 | 15 |   RUNNING |   WAITING |
|               890 | 18 |     READY |   RUNNING |
|               914 | 18 |   RUNNING |   WAITING |
|               914 | 33 |     READY |   RUNNING |
|               944 | 33 |   RUNNING |   WAITING |
|               944 | 68 |     READY |   RUNNING |
|               960 | 18 |   WAITING |     READY |
|              1011 | 68 |   RUNNING |   WAITING |
|              1011 | 18 |     READY |   RUNNING |
|              1012 | 33 |   WAITING |     READY |
|              1035 | 18 |   RUNNING |   WAITING |
|              1035 | 33 |     READY |   RUNNING |
|              1044 |  4 |   WAITING |     READY |
|              1065 | 33 |   RUNNING |   WAITING |
|              1065 |  4 |     READY |   RUNNING |
|              1081 | 18 |   WAITING |     READY |
|              1105 |  4 |   RUNNING |TERMINATED |
|              1105 | 18 |     READY |   RUNNING |
|              1129 | 18 |   RUNNING |   WAITING |
|              1133 | 33 |   WAITING |     READY |
|              1133 | 33 |     READY |   RUNNING |
|              1163 | 33 |   RUNNING |   WAITING |
|              1175 | 18 |   WAITING |     READY |
|              1175 | 18 |     READY |   RUNNING |
|              1199 | 18 |   RUNNING |   WAITING |
|              1205 | 15 |   WAITING |     READY |
|              1205 | 15 |     READY |   RUNNING |
|              1231 | 33 |   WAITING |     READY |
|              1245 | 18 |   WAITING |     READY |
|              1265 | 15 |   RUNNING |TERMINATED |
|              1265 | 18 |     READY |   RUNNING |
|              1272 | 68 |   WAITING |     READY |
|              1289 | 18 |   RUNNING |   WAITING |
|              1289 | 33 |     READY |   RUNNING |
|              1319 | 33 |   RUNNING |   WAITING |
|              1319 | 68 |     READY |   RUNNING |
|              1335 | 18 |   WAITING |     READY |
|              1387 | 33 |   WAITING |     READY |
|              1419 | 68 |   RUNNING |     READY |
|              1419 | 18 |     READY |   RUNNING |
|              1443 | 18 |   RUNNING |   WAITING |
|              1443 | 33 |     READY |   RUNNING |
|              1473 | 33 |   RUNNING |   WAITING |
|              1473 | 68 |     READY |   RUNNING |
|              1489 | 18 |   WAITING |     READY |
|              1540 | 68 |   RUNNING |   WAITING |
|              1540 | 18 |     READY |   RUNNING |
|              1541 | 33 |   WAITING |     READY |
|              1564 | 18 |   RUNNING |   WAITING |
|              1564 | 33 |     READY |   RUNNING |
|              1594 | 33 |   RUNNING |   WAITING |
