+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  4 |       NEW |     READY |
|                 0 |  4 |     READY |   RUNNING |
|                16 | 18 |       NEW |     READY |
|                22 | 15 |       NEW |     READY |
|                22 | 33 |       NEW |     READY |
|                23 | 68 |       NEW |     READY |
|               100 |  4 |   RUNNING |     READY |
|               100 | 18 |     READY |   RUNNING |
|               124 | 18 |   RUNNING |   WAITING |
|               124 | 15 |     READY |   RUNNING |
|               170 | 18 |   WAITING |     READY |
|               224 | 15 |   RUNNING |     READY |
|               224 | 33 |     READY |   RUNNING |
|               254 | 33 |   RUNNING |   WAITING |
|               254 | 68 |     READY |   RUNNING |
|               322 | 33 |   WAITING |     READY |
|               354 | 68 |   RUNNING |     READY |
|               354 |  4 |     READY |   RUNNING |
|               384 |  4 |   RUNNING |   WAITING |
|               384 | 18 |     READY |   RUNNING |
|               408 | 18 |   RUNNING |   WAITING |
|               408 | 15 |     READY |   RUNNING |
|               454 | 18 |   WAITING |     READY |
|               454 | 15 |   RUNNING |   WAITING |
|               454 | 33 |     READY |   RUNNING |
|               484 | 33 |   RUNNING |   WAITING |
|               484 | 68 |     READY |   RUNNING |
|               551 | 68 |   RUNNING |   WAITING |
|               551 | 18 |     READY |   RUNNING |
|               552 | 33 |   WAITING |     READY |
|               575 | 18 |   RUNNING |   WAITING |
|               575 | 33 |     READY |   RUNNING |
|               584 |  4 |   WAITING |     READY |
|               605 | 33 |   RUNNING |   WAITING |
|               605 |  4 |     READY |   RUNNING |
|               621 | 18 |   WAITING |     READY |
|               673 | 33 |   WAITING |     READY |
|               705 |  4 |   RUNNING |     READY |
|               705 | 18 |     READY |   RUNNING |
|               729 | 18 |   RUNNING |   WAITING |
|               729 | 33 |     READY |   RUNNING |
|               759 | 33 |   RUNNING |   WAITING |
|               759 |  4 |     READY |   RUNNING |
|               769 | 15 |   WAITING |     READY |
|               775 | 18 |   WAITING |     READY |
|               789 |  4 |   RUNNING |   WAITING |
|               789 | 15 |     READY |   RUNNING |
|               812 | 68 |   WAITING |     READY |
|               827 | 33 |   WAITING |     READY |
|               889 | 15 |   RUNNING |     READY |
|               889 | 18 |     READY |   RUNNING |
|               913 | 18 |   RUNNING |   WAITING |
|               913 | 68 |     READY |   RUNNING |
|               959 | 18 |   WAITING |     READY |
|               989 |  4 |   WAITING |     READY |
|              1013 | 68 |   RUNNING |     READY |
|              1013 | 33 |     READY |   RUNNING |
|              1043 | 33 |   RUNNING |   WAITING |
|              1043 | 15 |     READY |   RUNNING |
|              1089 | 15 |   RUNNING |   WAITING |
|              1089 | 18 |     READY |   RUNNING |
|              1111 | 33 |   WAITING |     READY |
|              1113 | 18 |   RUNNING |   WAITING |
|              1113 |  4 |     READY |   RUNNING |
|              1159 | 18 |   WAITING |     READY |
|              1213 |  4 |   RUNNING |     READY |
|              1213 | 68 |     READY |   RUNNING |
|              1280 | 68 |   RUNNING |   WAITING |
|              1280 | 33 |     READY |   RUNNING |
|              1310 | 33 |   RUNNING |   WAITING |
|              1310 | 18 |     READY |   RUNNING |
|              1334 | 18 |   RUNNING |   WAITING |
|              1334 |  4 |     READY |   RUNNING |
|              1364 |  4 |   RUNNING |   WAITING |
|              1378 | 33 |   WAITING |     READY |
|              1378 | 33 |     READY |   RUNNING |
|              1380 | 18 |   WAITING |     READY |
|              1404 | 15 |   WAITING |     READY |
|              1408 | 33 |   RUNNING |   WAITING |
|              1408 | 18 |     READY |   RUNNING |
|              1432 | 18 |   RUNNING |   WAITING |
|              1432 | 15 |     READY |   RUNNING |
|              1476 | 33 |   WAITING |     READY |
|              1478 | 18 |   WAITING |     READY |
|              1492 | 15 |   RUNNING |TERMINATED |
|              1492 | 33 |     READY |   RUNNING |
|              1522 | 33 |   RUNNING |   WAITING |
|              1522 | 18 |     READY |   RUNNING |
|              1541 | 68 |   WAITING |     READY |
|              1546 | 18 |   RUNNING |   WAITING |
|              1546 | 68 |     READY |   RUNNING |
|              1564 |  4 |   WAITING |     READY |
|              1590 | 33 |   WAITING |     READY |
