+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 41 |       NEW |     READY |
|                 0 | 41 |     READY |   RUNNING |
|                23 | 99 |       NEW |     READY |
|                33 |  8 |       NEW |     READY |
|                59 | 98 |       NEW |     READY |
|                60 | 41 |   RUNNING |   WAITING |
|                60 | 99 |     READY |   RUNNING |
|                77 | 41 |   WAITING |     READY |
|                80 | 19 |       NEW |     READY |
|               108 | 99 |   RUNNING |   WAITING |
|               108 |  8 |     READY |   RUNNING |
|               120 | 99 |   WAITING |     READY |
|               148 |  8 |   RUNNING |   WAITING |
|               148 | 98 |     READY |   RUNNING |
|               159 |  8 |   WAITING |     READY |
|               205 | 98 |   RUNNING |   WAITING |
|               205 | 41 |     READY |   RUNNING |
|               220 | 98 |   WAITING |     READY |
|               265 | 41 |   RUNNING |   WAITING |
|               265 | 19 |     READY |   RUNNING |
|               282 | 41 |   WAITING |     READY |
|               325 | 19 |   RUNNING |   WAITING |
|               325 | 99 |     READY |   RUNNING |
|               337 | 19 |   WAITING |     READY |
|               373 | 99 |   RUNNING |   WAITING |
|               373 |  8 |     READY |   RUNNING |
|               385 | 99 |   WAITING |     READY |
|               413 |  8 |   RUNNING |   WAITING |
|               413 | 98 |     READY |   RUNNING |
|               424 |  8 |   WAITING |     READY |
|               470 | 98 |   RUNNING |   WAITING |
|               470 | 41 |     READY |   RUNNING |
|               485 | 98 |   WAITING |     READY |
|               530 | 41 |   RUNNING |   WAITING |
|               530 | 19 |     READY |   RUNNING |
|               547 | 41 |   WAITING |     READY |
|               590 | 19 |   RUNNING |   WAITING |
|               590 | 99 |     READY |   RUNNING |
|               602 | 19 |   WAITING |     READY |
|               638 | 99 |   RUNNING |   WAITING |
|               638 |  8 |     READY |   RUNNING |
|               650 | 99 |   WAITING |     READY |
|               678 |  8 |   RUNNING |   WAITING |
|               678 | 98 |     READY |   RUNNING |
|               689 |  8 |   WAITING |     READY |
|               735 | 98 |   RUNNING |   WAITING |
|               735 | 41 |     READY |   RUNNING |
|               750 | 98 |   WAITING |     READY |
|               795 | 41 |   RUNNING |   WAITING |
|               795 | 19 |     READY |   RUNNING |
|               812 | 41 |   WAITING |     READY |
|               855 | 19 |   RUNNING |   WAITING |
|               855 | 99 |     READY |   RUNNING |
|               867 | 19 |   WAITING |     READY |
|               903 | 99 |   RUNNING |   WAITING |
|               903 |  8 |     READY |   RUNNING |
|               915 | 99 |   WAITING |     READY |
|               943 |  8 |   RUNNING |   WAITING |
|               943 | 98 |     READY |   RUNNING |
|               954 |  8 |   WAITING |     READY |
|              1000 | 98 |   RUNNING |   WAITING |
|              1000 | 41 |     READY |   RUNNING |
|              1015 | 98 |   WAITING |     READY |
|              1060 | 41 |   RUNNING |   WAITING |
|              1060 | 19 |     READY |   RUNNING |
|              1077 | 41 |   WAITING |     READY |
|              1120 | 19 |   RUNNING |   WAITING |
|              1120 | 99 |     READY |   RUNNING |
|              1132 | 19 |   WAITING |     READY |
|              1168 | 99 |   RUNNING |   WAITING |
|              1168 |  8 |     READY |   RUNNING |
|              1180 | 99 |   WAITING |     READY |
|              1208 |  8 |   RUNNING |   WAITING |
|              1208 | 98 |     READY |   RUNNING |
|              1219 |  8 |   WAITING |     READY |
|              1265 | 98 |   RUNNING |   WAITING |
|              1265 | 41 |     READY |   RUNNING |
|              1280 | 98 |   WAITING |     READY |
|              1325 | 41 |   RUNNING |   WAITING |
|              1325 | 19 |     READY |   RUNNING |
|              1342 | 41 |   WAITING |     READY |
|              1385 | 19 |   RUNNING |   WAITING |
|              1385 | 99 |     READY |   RUNNING |
|              1397 | 19 |   WAITING |     READY |
|              1433 | 99 |   RUNNING |   WAITING |
|              1433 |  8 |     READY |   RUNNING |
|              1445 | 99 |   WAITING |     READY |
|              1473 |  8 |   RUNNING |   WAITING |
|              1473 | 98 |     READY |   RUNNING |
|              1484 |  8 |   WAITING |     READY |
|              1530 | 98 |   RUNNING |   WAITING |
|              1530 | 41 |     READY |   RUNNING |
|              1545 | 98 |   WAITING |     READY |
|              1590 | 41 |   RUNNING |   WAITING |
|              1590 | 19 |     READY |   RUNNING |
