+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 31 |       NEW |     READY |
|                 0 | 75 |       NEW |     READY |
|                 0 | 31 |     READY |   RUNNING |
|                 1 | 96 |       NEW |     READY |
|                34 | 61 |       NEW |     READY |
|                43 | 73 |       NEW |     READY |
|                50 | 31 |   RUNNING |   WAITING |
|                50 | 61 |     READY |   RUNNING |
|                62 | 31 |   WAITING |     READY |
|               177 | 61 |   RUNNING |   WAITING |
|               177 | 31 |     READY |   RUNNING |
|               203 | 61 |   WAITING |     READY |
|               227 | 31 |   RUNNING |   WAITING |
|               227 | 61 |     READY |   RUNNING |
|               239 | 31 |   WAITING |     READY |
|               354 | 61 |   RUNNING |   WAITING |
|               354 | 31 |     READY |   RUNNING |
|               380 | 61 |   WAITING |     READY |
|               404 | 31 |   RUNNING |   WAITING |
|               404 | 61 |     READY |   RUNNING |
|               416 | 31 |   WAITING |     READY |
|               531 | 61 |   RUNNING |   WAITING |
|               531 | 31 |     READY |   RUNNING |
|               557 | 61 |   WAITING |     READY |
|               581 | 31 |   RUNNING |   WAITING |
|               581 | 61 |     READY |   RUNNING |
|               593 | 31 |   WAITING |     READY |
|               708 | 61 |   RUNNING |   WAITING |
|               708 | 31 |     READY |   RUNNING |
|               734 | 61 |   WAITING |     READY |
|               758 | 31 |   RUNNING |   WAITING |
|               758 | 61 |     READY |   RUNNING |
|               770 | 31 |   WAITING |     READY |
|               885 | 61 |   RUNNING |   WAITING |
|               885 | 31 |     READY |   RUNNING |
|               911 | 61 |   WAITING |     READY |
|               935 | 31 |   RUNNING |   WAITING |
|               935 | 61 |     READY |   RUNNING |
|               947 | 31 |   WAITING |     READY |
|              1021 | 61 |   RUNNING |TERMINATED |
|              1021 | 31 |     READY |   RUNNING |
|              1071 | 31 |   RUNNING |   WAITING |
|              1071 | 73 |     READY |   RUNNING |
|              1083 | 31 |   WAITING |     READY |
|              1223 | 73 |   RUNNING |   WAITING |
|              1223 | 31 |     READY |   RUNNING |
|              1260 | 73 |   WAITING |     READY |
|              1273 | 31 |   RUNNING |   WAITING |
|              1273 | 73 |     READY |   RUNNING |
|              1285 | 31 |   WAITING |     READY |
|              1425 | 73 |   RUNNING |   WAITING |
|              1425 | 31 |     READY |   RUNNING |
|              1462 | 73 |   WAITING |     READY |
|              1475 | 31 |   RUNNING |   WAITING |
|              1475 | 73 |     READY |   RUNNING |
|              1487 | 31 |   WAITING |     READY |
|              1627 | 73 |   RUNNING |   WAITING |
|              1627 | 31 |     READY |   RUNNING |
|              1664 | 73 |   WAITING |     READY |
|              1677 | 31 |   RUNNING |   WAITING |
|              1677 | 73 |     READY |   RUNNING |
|              1689 | 31 |   WAITING |     READY |
|              1829 | 73 |   RUNNING |   WAITING |
|              1829 | 31 |     READY |   RUNNING |
|              1866 | 73 |   WAITING |     READY |
|              1879 | 31 |   RUNNING |   WAITING |
|              1879 | 73 |     READY |   RUNNING |
|              1891 | 31 |   WAITING |     READY |
|              2031 | 73 |   RUNNING |   WAITING |
|              2031 | 31 |     READY |   RUNNING |
|              2068 | 73 |   WAITING |     READY |
|              2081 | 31 |   RUNNING |   WAITING |
|              2081 | 73 |     READY |   RUNNING |
|              2093 | 31 |   WAITING |     READY |
|              2233 | 73 |   RUNNING |   WAITING |
|              2233 | 31 |     READY |   RUNNING |
|              2270 | 73 |   WAITING |     READY |
|              2283 | 31 |   RUNNING |   WAITING |
|              2283 | 73 |     READY |   RUNNING |
|              2288 | 73 |   RUNNING |TERMINATED |
|              2288 | 75 |     READY |   RUNNING |
|              2295 | 31 |   WAITING |     READY |
|              2340 | 75 |   RUNNING |   WAITING |
|              2340 | 31 |     READY |   RUNNING |
|              2357 | 75 |   WAITING |     READY |
|              2390 | 31 |   RUNNING |   WAITING |
|              2390 | 75 |     READY |   RUNNING |
|              2402 | 31 |   WAITING |     READY |
|              2442 | 75 |   RUNNING |   WAITING |
|              2442 | 31 |     READY |   RUNNING |
|              2459 | 75 |   WAITING |     READY |
|              2492 | 31 |   RUNNING |   WAITING |
|              2492 | 75 |     READY |   RUNNING |
|              2504 | 31 |   WAITING |     READY |
|              2544 | 75 |   RUNNING |   WAITING |
|              2544 | 31 |     READY |   RUNNING |
|              2561 | 75 |   WAITING |     READY |
|              2594 | 31 |   RUNNING |   WAITING |
|              2594 | 75 |     READY |   RUNNING |
|              2606 | 31 |   WAITING |     READY |
|              2646 | 75 |   RUNNING |   WAITING |
|              2646 | 31 |     READY |   RUNNING |
|              2663 | 75 |   WAITING |     READY |
|              2679 | 31 |   RUNNING |TERMINATED |
|              2679 | 75 |     READY |   RUNNING |
|              2680 | 50 |       NEW |     READY |
|              2731 | 75 |   RUNNING |   WAITING |
|              2731 | 50 |     READY |   RUNNING |
|              2748 | 75 |   WAITING |     READY |
|              2836 | 50 |   RUNNING |   WAITING |
|              2836 | 75 |     READY |   RUNNING |
|              2880 | 50 |   WAITING |     READY |
|              2888 | 75 |   RUNNING |   WAITING |
|              2888 | 50 |     READY |   RUNNING |
|              2905 | 75 |   WAITING |     READY |
|              2993 | 50 |   RUNNING |   WAITING |
|              2993 | 75 |     READY |   RUNNING |
|              3037 | 50 |   WAITING |     READY |
|              3045 | 75 |   RUNNING |   WAITING |
|              3045 | 50 |     READY |   RUNNING |
|              3062 | 75 |   WAITING |     READY |
|              3150 | 50 |   RUNNING |   WAITING |
|              3150 | 75 |     READY |   RUNNING |
|              3194 | 50 |   WAITING |     READY |
|              3202 | 75 |   RUNNING |   WAITING |
|              3202 | 50 |     READY |   RUNNING |
|              3219 | 75 |   WAITING |     READY |
|              3307 | 50 |   RUNNING |   WAITING |
|              3307 | 75 |     READY |   RUNNING |
|              3351 | 50 |   WAITING |     READY |
|              3359 | 75 |   RUNNING |   WAITING |
|              3359 | 50 |     READY |   RUNNING |
|              3376 | 75 |   WAITING |     READY |
|              3464 | 50 |   RUNNING |   WAITING |
|              3464 | 75 |     READY |   RUNNING |
|              3508 | 50 |   WAITING |     READY |
|              3516 | 75 |   RUNNING |   WAITING |
|              3516 | 50 |     READY |   RUNNING |
|              3533 | 75 |   WAITING |     READY |
|              3621 | 50 |   RUNNING |   WAITING |
|              3621 | 75 |     READY |   RUNNING |
|              3665 | 50 |   WAITING |     READY |
|              3673 | 75 |   RUNNING |   WAITING |
|              3673 | 50 |     READY |   RUNNING |
|              3690 | 75 |   WAITING |     READY |
|              3748 | 50 |   RUNNING |TERMINATED |
|              3748 | 75 |     READY |   RUNNING |
|              3800 | 75 |   RUNNING |   WAITING |
|              3800 | 96 |     READY |   RUNNING |
|              3817 | 75 |   WAITING |     READY |
|              3899 | 96 |   RUNNING |   WAITING |
|              3899 | 75 |     READY |   RUNNING |
|              3918 | 96 |   WAITING |     READY |
|              3951 | 75 |   RUNNING |   WAITING |
|              3951 | 96 |     READY |   RUNNING |
|              3968 | 75 |   WAITING |     READY |
|              4050 | 96 |   RUNNING |   WAITING |
|              4050 | 75 |     READY |   RUNNING |
|              4062 | 75 |   RUNNING |TERMINATED |
|              4069 | 96 |   WAITING |     READY |
