+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 54 |       NEW |     READY |
|                 0 | 54 |     READY |   RUNNING |
|                 4 | 14 |       NEW |     READY |
|                21 | 54 |   RUNNING |   WAITING |
|                21 | 14 |     READY |   RUNNING |
|                29 | 14 |   RUNNING |   WAITING |
|                38 | 23 |       NEW |     READY |
|                38 | 23 |     READY |   RUNNING |
|                56 | 23 |   RUNNING |   WAITING |
|                69 | 60 |       NEW |     READY |
|                69 | 60 |     READY |   RUNNING |
|                71 | 12 |       NEW |     READY |
|                72 | 14 |   WAITING |     READY |
|                81 | 60 |   RUNNING |   WAITING |
|                81 | 12 |     READY |   RUNNING |
|                90 | 44 |       NEW |     READY |
|                94 | 54 |   WAITING |     READY |
|                98 | 12 |   RUNNING |   WAITING |
|                98 | 14 |     READY |   RUNNING |
|               106 | 14 |   RUNNING |   WAITING |
|               106 | 44 |     READY |   RUNNING |
|               117 | 44 |   RUNNING |   WAITING |
|               117 | 54 |     READY |   RUNNING |
|               126 | 23 |   WAITING |     READY |
|               138 | 54 |   RUNNING |   WAITING |
|               138 | 23 |     READY |   RUNNING |
|               139 | 60 |   WAITING |     READY |
|               149 | 14 |   WAITING |     READY |
|               156 | 23 |   RUNNING |   WAITING |
|               156 | 14 |     READY |   RUNNING |
|               157 | 44 |   WAITING |     READY |
|               164 | 14 |   RUNNING |   WAITING |
|               164 | 44 |     READY |   RUNNING |
|               175 | 12 |   WAITING |     READY |
|               175 | 44 |   RUNNING |   WAITING |
|               175 | 12 |     READY |   RUNNING |
|               192 | 12 |   RUNNING |   WAITING |
|               192 | 60 |     READY |   RUNNING |
|               204 | 60 |   RUNNING |   WAITING |
|               207 | 14 |   WAITING |     READY |
|               207 | 14 |     READY |   RUNNING |
|               211 | 54 |   WAITING |     READY |
|               215 | 44 |   WAITING |     READY |
|               215 | 14 |   RUNNING |   WAITING |
|               215 | 44 |     READY |   RUNNING |
|               226 | 23 |   WAITING |     READY |
|               226 | 44 |   RUNNING |   WAITING |
|               226 | 23 |     READY |   RUNNING |
|               244 | 23 |   RUNNING |   WAITING |
|               244 | 54 |     READY |   RUNNING |
|               258 | 14 |   WAITING |     READY |
|               262 | 60 |   WAITING |     READY |
|               265 | 54 |   RUNNING |   WAITING |
|               265 | 14 |     READY |   RUNNING |
|               266 | 44 |   WAITING |     READY |
|               269 | 12 |   WAITING |     READY |
|               273 | 14 |   RUNNING |   WAITING |
|               273 | 12 |     READY |   RUNNING |
|               290 | 12 |   RUNNING |   WAITING |
|               290 | 44 |     READY |   RUNNING |
|               301 | 44 |   RUNNING |   WAITING |
|               301 | 60 |     READY |   RUNNING |
|               313 | 60 |   RUNNING |   WAITING |
|               314 | 23 |   WAITING |     READY |
|               314 | 23 |     READY |   RUNNING |
|               316 | 14 |   WAITING |     READY |
|               332 | 23 |   RUNNING |   WAITING |
|               332 | 14 |     READY |   RUNNING |
|               338 | 54 |   WAITING |     READY |
|               340 | 14 |   RUNNING |   WAITING |
|               340 | 54 |     READY |   RUNNING |
|               341 | 44 |   WAITING |     READY |
|               361 | 54 |   RUNNING |   WAITING |
|               361 | 44 |     READY |   RUNNING |
|               367 | 12 |   WAITING |     READY |
|               371 | 60 |   WAITING |     READY |
|               372 | 44 |   RUNNING |   WAITING |
|               372 | 12 |     READY |   RUNNING |
|               383 | 14 |   WAITING |     READY |
|               389 | 12 |   RUNNING |   WAITING |
|               389 | 14 |     READY |   RUNNING |
|               397 | 14 |   RUNNING |   WAITING |
|               397 | 60 |     READY |   RUNNING |
|               402 | 23 |   WAITING |     READY |
|               409 | 60 |   RUNNING |   WAITING |
|               409 | 23 |     READY |   RUNNING |
|               412 | 44 |   WAITING |     READY |
|               427 | 23 |   RUNNING |   WAITING |
|               427 | 44 |     READY |   RUNNING |
|               434 | 54 |   WAITING |     READY |
|               438 | 44 |   RUNNING |   WAITING |
|               438 | 54 |     READY |   RUNNING |
|               440 | 14 |   WAITING |     READY |
|               459 | 54 |   RUNNING |   WAITING |
|               459 | 14 |     READY |   RUNNING |
|               466 | 12 |   WAITING |     READY |
|               467 | 60 |   WAITING |     READY |
|               467 | 14 |   RUNNING |   WAITING |
|               467 | 12 |     READY |   RUNNING |
|               478 | 44 |   WAITING |     READY |
|               484 | 12 |   RUNNING |   WAITING |
|               484 | 44 |     READY |   RUNNING |
|               495 | 44 |   RUNNING |   WAITING |
|               495 | 60 |     READY |   RUNNING |
|               497 | 23 |   WAITING |     READY |
|               507 | 60 |   RUNNING |   WAITING |
|               507 | 23 |     READY |   RUNNING |
|               510 | 14 |   WAITING |     READY |
|               525 | 23 |   RUNNING |   WAITING |
|               525 | 14 |     READY |   RUNNING |
|               532 | 54 |   WAITING |     READY |
|               533 | 14 |   RUNNING |   WAITING |
|               533 | 54 |     READY |   RUNNING |
|               535 | 44 |   WAITING |     READY |
|               554 | 54 |   RUNNING |   WAITING |
|               554 | 44 |     READY |   RUNNING |
|               561 | 12 |   WAITING |     READY |
|               565 | 60 |   WAITING |     READY |
|               565 | 44 |   RUNNING |   WAITING |
|               565 | 12 |     READY |   RUNNING |
|               576 | 14 |   WAITING |     READY |
|               582 | 12 |   RUNNING |   WAITING |
|               582 | 14 |     READY |   RUNNING |
|               590 | 14 |   RUNNING |   WAITING |
|               590 | 60 |     READY |   RUNNING |
|               595 | 23 |   WAITING |     READY |
|               602 | 60 |   RUNNING |   WAITING |
|               602 | 23 |     READY |   RUNNING |
|               605 | 44 |   WAITING |     READY |
|               620 | 23 |   RUNNING |   WAITING |
|               620 | 44 |     READY |   RUNNING |
|               627 | 54 |   WAITING |     READY |
|               631 | 44 |   RUNNING |   WAITING |
|               631 | 54 |     READY |   RUNNING |
|               633 | 14 |   WAITING |     READY |
|               652 | 54 |   RUNNING |   WAITING |
|               652 | 14 |     READY |   RUNNING |
|               659 | 12 |   WAITING |     READY |
|               660 | 60 |   WAITING |     READY |
|               660 | 14 |   RUNNING |   WAITING |
|               660 | 12 |     READY |   RUNNING |
|               671 | 44 |   WAITING |     READY |
|               677 | 12 |   RUNNING |   WAITING |
|               677 | 44 |     READY |   RUNNING |
|               688 | 44 |   RUNNING |   WAITING |
|               688 | 60 |     READY |   RUNNING |
|               690 | 23 |   WAITING |     READY |
|               700 | 60 |   RUNNING |   WAITING |
|               700 | 23 |     READY |   RUNNING |
|               703 | 14 |   WAITING |     READY |
|               718 | 23 |   RUNNING |   WAITING |
|               718 | 14 |     READY |   RUNNING |
|               725 | 54 |   WAITING |     READY |
|               726 | 14 |   RUNNING |   WAITING |
|               726 | 54 |     READY |   RUNNING |
|               728 | 44 |   WAITING |     READY |
|               747 | 54 |   RUNNING |   WAITING |
|               747 | 44 |     READY |   RUNNING |
|               754 | 12 |   WAITING |     READY |
|               758 | 60 |   WAITING |     READY |
|               758 | 44 |   RUNNING |   WAITING |
|               758 | 12 |     READY |   RUNNING |
|               769 | 14 |   WAITING |     READY |
|               775 | 12 |   RUNNING |   WAITING |
|               775 | 14 |     READY |   RUNNING |
|               783 | 14 |   RUNNING |   WAITING |
|               783 | 60 |     READY |   RUNNING |
|               788 | 23 |   WAITING |     READY |
|               795 | 60 |   RUNNING |   WAITING |
|               795 | 23 |     READY |   RUNNING |
|               798 | 44 |   WAITING |     READY |
|               813 | 23 |   RUNNING |   WAITING |
|               813 | 44 |     READY |   RUNNING |
|               820 | 54 |   WAITING |     READY |
|               824 | 44 |   RUNNING |   WAITING |
|               824 | 54 |     READY |   RUNNING |
|               826 | 14 |   WAITING |     READY |
|               845 | 54 |   RUNNING |   WAITING |
|               845 | 14 |     READY |   RUNNING |
|               852 | 12 |   WAITING |     READY |
|               853 | 60 |   WAITING |     READY |
|               853 | 14 |   RUNNING |   WAITING |
|               853 | 12 |     READY |   RUNNING |
|               864 | 44 |   WAITING |     READY |
|               870 | 12 |   RUNNING |   WAITING |
|               870 | 44 |     READY |   RUNNING |
|               881 | 44 |   RUNNING |   WAITING |
|               881 | 60 |     READY |   RUNNING |
|               883 | 23 |   WAITING |     READY |
|               893 | 60 |   RUNNING |   WAITING |
|               893 | 23 |     READY |   RUNNING |
|               896 | 14 |   WAITING |     READY |
|               911 | 23 |   RUNNING |   WAITING |
|               911 | 14 |     READY |   RUNNING |
|               918 | 54 |   WAITING |     READY |
|               919 | 14 |   RUNNING |   WAITING |
|               919 | 54 |     READY |   RUNNING |
|               921 | 44 |   WAITING |     READY |
|               940 | 54 |   RUNNING |   WAITING |
|               940 | 44 |     READY |   RUNNING |
|               947 | 12 |   WAITING |     READY |
|               951 | 60 |   WAITING |     READY |
|               951 | 44 |   RUNNING |   WAITING |
|               951 | 12 |     READY |   RUNNING |
|               962 | 14 |   WAITING |     READY |
|               968 | 12 |   RUNNING |   WAITING |
|               968 | 14 |     READY |   RUNNING |
