+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 98 |       NEW |     READY |
|                 0 | 98 |     READY |   RUNNING |
|                26 | 34 |       NEW |     READY |
|                59 | 78 |       NEW |     READY |
|                70 | 97 |       NEW |     READY |
|               181 | 98 |   RUNNING |   WAITING |
|               181 | 34 |     READY |   RUNNING |
|               307 | 34 |   RUNNING |   WAITING |
|               307 | 78 |     READY |   RUNNING |
|               326 | 78 |   RUNNING |   WAITING |
|               326 | 97 |     READY |   RUNNING |
|               340 | 97 |   RUNNING |   WAITING |
|               386 | 78 |   WAITING |     READY |
|               386 | 78 |     READY |   RUNNING |
|               405 | 78 |   RUNNING |   WAITING |
|               412 | 97 |   WAITING |     READY |
|               412 | 97 |     READY |   RUNNING |
|               426 | 97 |   RUNNING |   WAITING |
|               465 | 78 |   WAITING |     READY |
|               465 | 78 |     READY |   RUNNING |
|               484 | 78 |   RUNNING |   WAITING |
|               498 | 97 |   WAITING |     READY |
|               498 | 97 |     READY |   RUNNING |
|               512 | 97 |   RUNNING |   WAITING |
|               544 | 78 |   WAITING |     READY |
|               544 | 78 |     READY |   RUNNING |
|               563 | 78 |   RUNNING |   WAITING |
|               584 | 97 |   WAITING |     READY |
|               584 | 97 |     READY |   RUNNING |
|               598 | 97 |   RUNNING |   WAITING |
|               623 | 78 |   WAITING |     READY |
|               623 | 78 |     READY |   RUNNING |
|               642 | 78 |   RUNNING |   WAITING |
|               670 | 97 |   WAITING |     READY |
|               670 | 97 |     READY |   RUNNING |
|               684 | 97 |   RUNNING |   WAITING |
|               702 | 78 |   WAITING |     READY |
|               702 | 78 |     READY |   RUNNING |
|               721 | 78 |   RUNNING |   WAITING |
|               756 | 97 |   WAITING |     READY |
|               756 | 97 |     READY |   RUNNING |
|               770 | 97 |   RUNNING |   WAITING |
|               781 | 78 |   WAITING |     READY |
|               781 | 78 |     READY |   RUNNING |
|               793 | 98 |   WAITING |     READY |
|               800 | 78 |   RUNNING |   WAITING |
|               800 | 98 |     READY |   RUNNING |
|               842 | 97 |   WAITING |     READY |
|               860 | 78 |   WAITING |     READY |
|               981 | 98 |   RUNNING |   WAITING |
|               981 | 78 |     READY |   RUNNING |
|              1000 | 78 |   RUNNING |   WAITING |
|              1000 | 97 |     READY |   RUNNING |
|              1014 | 97 |   RUNNING |   WAITING |
|              1060 | 78 |   WAITING |     READY |
|              1060 | 78 |     READY |   RUNNING |
|              1079 | 78 |   RUNNING |   WAITING |
|              1086 | 97 |   WAITING |     READY |
|              1086 | 97 |     READY |   RUNNING |
|              1100 | 97 |   RUNNING |   WAITING |
|              1139 | 78 |   WAITING |     READY |
|              1139 | 78 |     READY |   RUNNING |
|              1158 | 78 |   RUNNING |   WAITING |
|              1172 | 97 |   WAITING |     READY |
|              1172 | 97 |     READY |   RUNNING |
|              1186 | 97 |   RUNNING |   WAITING |
|              1218 | 78 |   WAITING |     READY |
|              1218 | 78 |     READY |   RUNNING |
