+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 | 98 |       NEW |     READY |
|                 0 | 98 |     READY |   RUNNING |
|                26 | 34 |       NEW |     READY |
|                59 | 78 |       NEW |     READY |
|                70 | 97 |       NEW |     READY |
|               100 | 98 |   RUNNING |     READY |
|               100 | 34 |     READY |   RUNNING |
|               200 | 34 |   RUNNING |     READY |
|               200 | 78 |     READY |   RUNNING |
|               219 | 78 |   RUNNING |   WAITING |
|               219 | 97 |     READY |   RUNNING |
|               233 | 97 |   RUNNING |   WAITING |
|               233 | 98 |     READY |   RUNNING |
|               279 | 78 |   WAITING |     READY |
|               305 | 97 |   WAITING |     READY |
|               314 | 98 |   RUNNING |   WAITING |
|               314 | 34 |     READY |   RUNNING |
|               340 | 34 |   RUNNING |   WAITING |
|               340 | 78 |     READY |   RUNNING |
|               359 | 78 |   RUNNING |   WAITING |
|               359 | 97 |     READY |   RUNNING |
|               373 | 97 |   RUNNING |   WAITING |
|               419 | 78 |   WAITING |     READY |
|               419 | 78 |     READY |   RUNNING |
|               438 | 78 |   RUNNING |   WAITING |
|               445 | 97 |   WAITING |     READY |
|               445 | 97 |     READY |   RUNNING |
|               459 | 97 |   RUNNING |   WAITING |
|               498 | 78 |   WAITING |     READY |
|               498 | 78 |     READY |   RUNNING |
|               517 | 78 |   RUNNING |   WAITING |
|               531 | 97 |   WAITING |     READY |
|               531 | 97 |     READY |   RUNNING |
|               545 | 97 |   RUNNING |   WAITING |
|               577 | 78 |   WAITING |     READY |
|               577 | 78 |     READY |   RUNNING |
|               596 | 78 |   RUNNING |   WAITING |
|               617 | 97 |   WAITING |     READY |
|               617 | 97 |     READY |   RUNNING |
|               631 | 97 |   RUNNING |   WAITING |
|               656 | 78 |   WAITING |     READY |
|               656 | 78 |     READY |   RUNNING |
|               675 | 78 |   RUNNING |   WAITING |
|               703 | 97 |   WAITING |     READY |
|               703 | 97 |     READY |   RUNNING |
|               717 | 97 |   RUNNING |   WAITING |
|               735 | 78 |   WAITING |     READY |
|               735 | 78 |     READY |   RUNNING |
|               754 | 78 |   RUNNING |   WAITING |
|               789 | 97 |   WAITING |     READY |
|               789 | 97 |     READY |   RUNNING |
|               803 | 97 |   RUNNING |   WAITING |
|               814 | 78 |   WAITING |     READY |
|               814 | 78 |     READY |   RUNNING |
|               833 | 78 |   RUNNING |   WAITING |
|               875 | 97 |   WAITING |     READY |
|               875 | 97 |     READY |   RUNNING |
|               889 | 97 |   RUNNING |   WAITING |
|               893 | 78 |   WAITING |     READY |
|               893 | 78 |     READY |   RUNNING |
|               912 | 78 |   RUNNING |   WAITING |
|               926 | 98 |   WAITING |     READY |
|               926 | 98 |     READY |   RUNNING |
|               961 | 97 |   WAITING |     READY |
|               972 | 78 |   WAITING |     READY |
|              1026 | 98 |   RUNNING |     READY |
|              1026 | 97 |     READY |   RUNNING |
|              1040 | 97 |   RUNNING |   WAITING |
|              1040 | 78 |     READY |   RUNNING |
